term_str,n,n_chars,p,i,max_pos,max_pos_group,stop,stem_porter,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_sentiment
center,42,6,0.0003183072119319,11.617292534857668,NNP,NN,0,center,0,0,0,0,0,0,1,0,0,1,1
ceremony,17,8,0.000128838633401,12.922147116386087,NN,NN,0,ceremoni,0,0,0,0,1,0,1,0,1,0,1
chairman,49,8,0.0003713584139206,11.39490011352122,NN,NN,0,chairman,0,0,0,0,0,0,1,0,0,1,1
challenge,4,9,3.0314972564949827e-05,15.009609957636428,NN,NN,0,challeng,1,0,0,1,0,1,0,0,0,0,-1
champion,33,8,0.0002500985236608,11.965215838277976,NN,NN,0,champion,0,1,0,0,1,0,1,0,0,1,1
charitable,1,10,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,charit,0,1,0,0,1,0,1,0,0,1,1
charity,7,7,5.30512019886622e-05,14.202255035578824,NN,NN,0,chariti,0,0,0,0,1,0,1,0,0,0,1
child,39,5,0.0002955709825082,11.72420773877418,NN,NN,0,child,0,1,0,0,1,0,1,0,0,0,1
childhood,3,9,2.2736229423712372e-05,15.424647456915272,NN,NN,0,childhood,0,0,0,0,1,0,1,0,0,0,1
chocolate,6,9,4.5472458847424745e-05,14.424647456915272,NN,NN,0,chocol,0,1,0,0,1,0,1,0,0,1,1
choir,6,5,4.5472458847424745e-05,14.424647456915272,NN,NN,0,choir,0,0,0,0,1,0,1,0,0,1,1
chronicle,1,9,7.578743141237457e-06,17.009609957636428,NNP,NN,0,chronicl,0,0,0,0,0,0,1,0,0,1,1
chuckle,2,7,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,chuckl,0,1,0,0,1,0,1,0,1,1,1
church,97,6,0.0007351380847,10.4096971154493,NNP,NN,0,church,0,1,0,0,1,0,1,0,0,1,1
clash,1,5,7.578743141237457e-06,17.009609957636428,NN,NN,0,clash,1,0,0,0,0,1,0,0,0,0,-1
classics,2,8,1.5157486282474914e-05,16.009609957636428,NN,NN,0,classic,0,0,0,0,1,0,1,0,0,0,1
clean,5,5,3.7893715706187286e-05,14.687681862749066,JJ,JJ,0,clean,0,0,0,0,1,0,1,0,0,1,1
clerical,2,8,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,cleric,0,0,0,0,0,0,1,0,0,1,1
clown,3,5,2.2736229423712372e-05,15.424647456915272,NNP,NN,0,clown,0,1,0,0,1,0,1,0,1,0,1
cocaine,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,cocain,0,0,0,0,0,1,0,1,0,0,-1
coffin,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,coffin,0,0,0,1,0,1,0,1,0,0,-1
colonel,4,7,3.0314972564949827e-05,15.009609957636428,NN,NN,0,colonel,0,0,0,0,0,0,1,0,0,1,1
coma,3,4,2.2736229423712372e-05,15.424647456915272,NN,NN,0,coma,0,0,0,1,0,1,0,1,0,0,-1
comfort,4,7,3.0314972564949827e-05,15.009609957636428,NN,NN,0,comfort,0,1,0,0,1,0,1,0,0,1,1
commandant,1,10,7.578743141237457e-06,17.009609957636428,VB,VB,0,command,0,0,0,0,0,0,1,0,0,1,1
commanding,2,10,1.5157486282474914e-05,16.009609957636428,VBG,VB,0,command,0,0,0,0,0,0,1,0,0,1,1
commemorate,1,11,7.578743141237457e-06,17.009609957636428,VB,VB,0,commemor,0,1,0,0,1,0,1,1,0,0,1
commemoration,1,13,7.578743141237457e-06,17.009609957636428,NN,NN,0,commemor,0,1,0,0,1,0,1,0,0,0,1
commemorative,1,13,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,commemor,0,1,0,0,0,0,1,0,0,0,1
committed,9,9,6.820868827113711e-05,13.839684956194116,VBN,VB,0,commit,0,0,0,0,0,0,1,0,0,1,1
commonwealth,1,12,7.578743141237457e-06,17.009609957636428,NNP,NN,0,commonwealth,0,0,0,0,0,0,1,0,0,1,1
commotion,2,9,1.5157486282474914e-05,16.009609957636428,NN,NN,0,commot,1,0,0,0,0,1,0,0,0,0,-1
communicate,1,11,7.578743141237457e-06,17.009609957636428,VB,VB,0,commun,0,0,0,0,0,0,1,0,0,1,1
communion,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,communion,0,0,0,0,1,0,1,0,0,1,1
communism,3,9,2.2736229423712372e-05,15.424647456915272,NNP,NN,0,commun,1,0,0,1,0,1,0,1,0,0,-1
companion,3,9,2.2736229423712372e-05,15.424647456915272,NN,NN,0,companion,0,0,0,0,1,0,1,0,0,1,1
competition,3,11,2.2736229423712372e-05,15.424647456915272,NN,NN,0,competit,0,1,0,0,0,1,0,0,0,0,-1
complaint,10,9,7.578743141237457e-05,13.687681862749066,NN,NN,0,complaint,1,0,0,0,0,1,0,0,0,0,-1
completing,3,10,2.2736229423712372e-05,15.424647456915272,VBG,VB,0,complet,0,1,0,0,1,0,1,0,0,0,1
completion,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,complet,0,1,0,0,1,0,1,0,0,0,1
compliance,6,10,4.5472458847424745e-05,14.424647456915272,NN,NN,0,complianc,0,0,0,0,0,0,1,0,0,1,1
complicate,1,10,7.578743141237457e-06,17.009609957636428,VB,VB,0,complic,1,0,0,0,0,1,0,0,0,0,-1
complicity,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,complic,0,0,0,0,0,1,1,0,0,0,0
compliment,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,compliment,0,1,0,0,1,0,1,0,1,1,1
compulsion,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,compuls,1,0,0,0,0,1,0,0,0,0,-1
comrade,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,comrad,0,0,0,0,0,0,1,0,0,1,1
concealment,2,11,1.5157486282474914e-05,16.009609957636428,NN,NN,0,conceal,1,1,0,1,0,1,0,0,0,0,-1
concerned,5,9,3.7893715706187286e-05,14.687681862749066,JJ,VB,0,concern,0,0,0,1,0,0,0,1,0,0,0
concord,1,7,7.578743141237457e-06,17.009609957636428,NNP,NN,0,concord,0,0,0,0,0,0,1,0,0,1,1
concussion,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,concuss,1,0,0,0,0,1,0,1,0,0,-1
condemn,2,7,1.5157486282474914e-05,16.009609957636428,VB,VB,0,condemn,1,0,0,0,0,1,0,0,0,0,-1
confession,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,confess,0,1,0,1,0,1,0,1,1,0,-1
confidence,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,confid,0,0,0,1,1,0,1,0,0,1,1
confident,4,9,3.0314972564949827e-05,15.009609957636428,JJ,JJ,0,confid,0,0,0,0,1,0,1,0,0,1,1
confined,6,8,4.5472458847424745e-05,14.424647456915272,VBN,VB,0,confin,1,0,1,1,0,1,0,1,0,0,-1
confirmed,4,9,3.0314972564949827e-05,15.009609957636428,VBD,VB,0,confirm,0,0,0,0,0,0,1,0,0,1,1
conflict,3,8,2.2736229423712372e-05,15.424647456915272,NN,NN,0,conflict,1,0,0,1,0,1,0,1,0,0,-1
confusion,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,confus,1,0,0,1,0,1,0,0,0,0,-1
congregation,7,12,5.30512019886622e-05,14.202255035578824,NN,NN,0,congreg,0,0,0,0,0,0,1,0,0,1,1
congress,29,8,0.0002197835510958,12.151628962508855,NNP,NN,0,congress,0,0,1,0,0,0,0,0,0,1,0
conscientious,1,13,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,conscienti,0,0,0,0,0,0,1,0,0,1,1
considerate,1,11,7.578743141237457e-06,17.009609957636428,NNP,NN,0,consider,0,0,0,0,0,0,1,0,0,1,1
constant,3,8,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,constant,0,0,0,0,0,0,1,0,0,1,1
constitutional,4,14,3.0314972564949827e-05,15.009609957636428,JJ,JJ,0,constitut,0,0,0,0,0,0,1,0,0,1,1
contempt,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,contempt,1,0,1,1,0,1,0,0,0,0,-1
content,2,7,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,content,0,0,0,0,1,0,1,0,0,1,1
continue,15,8,0.0001136811471185,13.10271936202791,VB,VB,0,continu,0,1,0,0,0,0,1,0,0,1,1
controversial,5,13,3.7893715706187286e-05,14.687681862749066,JJ,JJ,0,controversi,1,0,0,0,0,1,0,0,0,0,-1
convict,2,7,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,convict,1,0,1,1,0,1,0,1,0,0,-1
convince,1,8,7.578743141237457e-06,17.009609957636428,VB,VB,0,convinc,0,1,0,0,0,0,1,0,0,1,1
cooperation,4,11,3.0314972564949827e-05,15.009609957636428,NN,NN,0,cooper,0,0,0,0,0,0,1,0,0,1,1
cooperative,4,11,3.0314972564949827e-05,15.009609957636428,JJ,JJ,0,cooper,0,0,0,0,0,0,1,0,0,1,1
cop,30,3,0.0002273622942371,12.10271936202791,NNP,NN,0,cop,0,0,0,1,0,0,0,0,0,1,0
corporation,6,11,4.5472458847424745e-05,14.424647456915272,NNP,NN,0,corpor,0,0,0,0,0,0,1,0,0,1,1
corpse,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,corps,0,0,1,0,0,1,0,1,0,0,-1
correspondence,2,14,1.5157486282474914e-05,16.009609957636428,NN,NN,0,correspond,0,1,0,0,0,0,1,0,0,0,1
corruption,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,corrupt,0,0,1,0,0,1,0,0,0,0,-1
cosmopolitan,3,12,2.2736229423712372e-05,15.424647456915272,JJ,NN,0,cosmopolitan,0,0,0,0,0,0,1,0,0,1,1
council,31,7,0.0002349410373783,12.055413647249551,NNP,NN,0,council,0,1,0,0,0,0,1,0,0,1,1
counsel,6,7,4.5472458847424745e-05,14.424647456915272,NN,NN,0,counsel,0,0,0,0,0,0,1,0,0,1,1
counselor,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,counselor,0,0,0,0,0,0,1,0,0,1,1
count,18,5,0.0001364173765422,12.839684956194116,NNP,NN,0,count,0,0,0,0,0,0,1,0,0,1,1
coup,1,4,7.578743141237457e-06,17.009609957636428,NN,NN,0,coup,1,0,0,0,0,0,0,0,1,0,0
courageous,2,10,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,courag,0,0,0,1,0,0,1,0,0,0,1
court,132,5,0.0010003940946433,9.965215838277976,NNP,NN,0,court,1,1,0,1,0,0,0,0,0,0,0
cove,1,4,7.578743141237457e-06,17.009609957636428,NNP,NN,0,cove,0,1,1,1,1,0,1,0,0,0,1
cowardice,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,cowardic,0,0,0,1,0,1,0,0,0,0,-1
cracked,2,7,1.5157486282474914e-05,16.009609957636428,VBD,VB,0,crack,1,0,0,1,0,1,0,0,0,0,-1
crash,4,5,3.0314972564949827e-05,15.009609957636428,NN,NN,0,crash,0,0,0,1,0,1,0,1,1,0,-1
crazy,1,5,7.578743141237457e-06,17.009609957636428,NN,NN,0,crazi,1,0,0,1,0,1,0,1,0,0,-1
cream,4,5,3.0314972564949827e-05,15.009609957636428,NN,NN,0,cream,0,1,0,0,1,0,1,0,1,0,1
create,3,6,2.2736229423712372e-05,15.424647456915272,VB,VB,0,creat,0,0,0,0,1,0,1,0,0,0,1
credit,10,6,7.578743141237457e-05,13.687681862749066,NN,NN,0,credit,0,0,0,0,0,0,1,0,0,1,1
crime,29,5,0.0002197835510958,12.151628962508855,NN,NN,0,crime,1,0,0,0,0,1,0,0,0,0,-1
criminal,10,8,7.578743141237457e-05,13.687681862749066,JJ,JJ,0,crimin,1,0,1,1,0,1,0,0,0,0,-1
crippled,2,8,1.5157486282474914e-05,16.009609957636428,VBD,VB,0,crippl,0,0,0,0,0,1,0,1,0,0,-1
criticism,3,9,2.2736229423712372e-05,15.424647456915272,NN,NN,0,critic,1,0,0,0,0,1,0,1,0,0,-1
criticize,1,9,7.578743141237457e-06,17.009609957636428,VBP,VB,0,critic,1,0,1,1,0,1,0,1,0,0,-1
cross,8,5,6.0629945129899655e-05,14.009609957636428,NNP,NN,0,cross,1,0,0,1,0,1,0,1,0,0,-1
crucial,4,7,3.0314972564949827e-05,15.009609957636428,JJ,JJ,0,crucial,0,0,0,0,0,0,1,0,0,1,1
cruel,4,5,3.0314972564949827e-05,15.009609957636428,JJ,JJ,0,cruel,1,0,1,1,0,1,0,1,0,0,-1
cruelty,3,7,2.2736229423712372e-05,15.424647456915272,NN,NN,0,cruelti,1,0,1,1,0,1,0,1,0,0,-1
crusade,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,crusad,1,0,0,1,0,1,0,0,0,0,-1
crushed,5,7,3.7893715706187286e-05,14.687681862749066,VBN,VB,0,crush,1,0,1,1,0,1,0,1,0,0,-1
crushing,1,8,7.578743141237457e-06,17.009609957636428,VBG,VB,0,crush,1,0,1,1,0,1,0,0,0,0,-1
cry,4,3,3.0314972564949827e-05,15.009609957636428,NN,NN,0,cri,0,0,0,0,0,1,0,1,0,0,-1
crying,2,6,1.5157486282474914e-05,16.009609957636428,NN,NN,0,cri,0,0,0,0,0,1,0,1,0,0,-1
cuddle,2,6,1.5157486282474914e-05,16.009609957636428,NN,NN,0,cuddl,0,0,0,0,1,0,1,0,0,1,1
cult,1,4,7.578743141237457e-06,17.009609957636428,NN,NN,0,cult,0,0,0,1,0,1,0,0,0,0,-1
cur,1,3,7.578743141237457e-06,17.009609957636428,NN,NN,0,cur,1,0,1,1,0,1,0,0,0,0,-1
curiosity,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,curios,0,1,0,0,0,0,1,0,1,0,1
curse,3,5,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,curs,1,0,1,1,0,1,0,1,0,0,-1
cursed,2,6,1.5157486282474914e-05,16.009609957636428,VBD,VB,0,curs,1,0,0,1,0,1,0,1,0,0,-1
cutting,2,7,1.5157486282474914e-05,16.009609957636428,VBG,VB,0,cut,1,0,1,1,0,1,0,1,0,0,-1
cyst,3,4,2.2736229423712372e-05,15.424647456915272,NN,NN,0,cyst,0,0,0,1,0,1,0,1,0,0,-1
daft,1,4,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,daft,0,0,1,0,0,1,0,0,0,0,-1
damage,17,6,0.000128838633401,12.922147116386087,NN,NN,0,damag,1,0,1,0,0,1,0,1,0,0,-1
damages,4,7,3.0314972564949827e-05,15.009609957636428,NNS,NN,0,damag,0,0,0,0,0,1,0,1,0,0,-1
dame,1,4,7.578743141237457e-06,17.009609957636428,NNP,NN,0,dame,1,0,1,0,0,0,1,0,0,1,1
dance,31,5,0.0002349410373783,12.055413647249551,NN,NN,0,danc,0,0,0,0,1,0,1,0,0,1,1
danger,2,6,1.5157486282474914e-05,16.009609957636428,NN,NN,0,danger,0,0,0,1,0,1,0,1,0,0,-1
dangerous,11,9,8.336617455361203e-05,13.550178338999132,JJ,JJ,0,danger,0,0,0,1,0,1,0,0,0,0,-1
dare,3,4,2.2736229423712372e-05,15.424647456915272,NN,NN,0,dare,0,1,0,0,0,0,0,0,0,1,0
darkened,2,8,1.5157486282474914e-05,16.009609957636428,VBD,VB,0,darken,0,0,0,1,0,1,0,1,0,0,-1
darkness,3,8,2.2736229423712372e-05,15.424647456915272,NNP,NN,0,dark,1,0,0,1,0,1,0,1,0,0,-1
darling,1,7,7.578743141237457e-06,17.009609957636428,VBG,VB,0,darl,0,0,0,0,1,0,1,0,0,1,1
dashed,3,6,2.2736229423712372e-05,15.424647456915272,VBN,VB,0,dash,1,0,0,1,0,1,0,1,0,0,-1
daughter,51,8,0.0003865159002031,11.337184615664931,NN,NN,0,daughter,0,0,0,0,1,0,1,0,0,0,1
dawn,2,4,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,dawn,0,1,0,0,1,0,1,0,1,1,1
deal,13,4,9.852366083608696e-05,13.309170239495336,NN,NN,0,deal,0,1,0,0,1,0,1,0,1,1,1
death,69,5,0.0005229332767453,10.90108550085826,NN,NN,0,death,1,1,1,1,0,1,0,1,1,0,-1
debris,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,debri,0,0,1,0,0,1,0,0,0,0,-1
debt,5,4,3.7893715706187286e-05,14.687681862749066,NN,NN,0,debt,0,0,0,0,0,1,0,1,0,0,-1
deceased,2,8,1.5157486282474914e-05,16.009609957636428,VBD,VB,0,deceas,0,0,0,0,0,1,0,1,0,0,-1
deceived,1,8,7.578743141237457e-06,17.009609957636428,VBN,VB,0,deceiv,1,0,0,0,0,1,0,0,0,0,-1
defeated,4,8,3.0314972564949827e-05,15.009609957636428,VBD,VB,0,defeat,0,0,0,0,0,1,0,1,0,0,-1
defect,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,defect,1,0,0,0,0,1,0,0,0,0,-1
defective,2,9,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,defect,0,0,1,0,0,1,0,0,0,0,-1
defend,3,6,2.2736229423712372e-05,15.424647456915272,VB,VB,0,defend,0,0,0,1,0,0,1,0,0,0,1
defendant,6,9,4.5472458847424745e-05,14.424647456915272,NN,NN,0,defend,1,0,0,1,0,0,0,1,0,0,0
defended,2,8,1.5157486282474914e-05,16.009609957636428,VBD,VB,0,defend,0,0,0,0,0,0,1,0,0,1,1
defender,3,8,2.2736229423712372e-05,15.424647456915272,NNP,NN,0,defend,0,0,0,0,0,0,1,0,0,1,1
defense,39,7,0.0002955709825082,11.72420773877418,NN,NN,0,defens,1,1,0,1,0,0,1,0,0,0,1
defiant,1,7,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,defiant,1,0,0,0,0,1,0,0,0,0,-1
degrading,1,9,7.578743141237457e-06,17.009609957636428,VBG,VB,0,degrad,0,0,1,1,0,1,0,1,0,0,-1
delay,1,5,7.578743141237457e-06,17.009609957636428,NN,NN,0,delay,1,0,1,1,0,1,0,1,0,0,-1
delegate,9,8,6.820868827113711e-05,13.839684956194116,NN,NN,0,deleg,0,0,0,0,0,0,1,0,0,1,1
delicious,2,9,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,delici,0,0,0,0,1,0,1,0,0,0,1
delight,4,7,3.0314972564949827e-05,15.009609957636428,NN,NN,0,delight,0,1,0,0,1,0,1,0,0,0,1
delighted,1,9,7.578743141237457e-06,17.009609957636428,VBN,VB,0,delight,0,1,0,0,1,0,1,0,1,0,1
delinquent,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,delinqu,1,0,1,0,0,1,0,0,0,0,-1
deliverance,1,11,7.578743141237457e-06,17.009609957636428,NNP,NN,0,deliver,0,1,0,0,1,0,1,0,0,1,1
delivery,7,8,5.30512019886622e-05,14.202255035578824,NN,NN,0,deliveri,0,1,0,0,0,0,1,0,0,0,1
deluge,1,6,7.578743141237457e-06,17.009609957636428,VBP,VB,0,delug,0,0,0,1,0,1,0,1,1,0,-1
demand,4,6,3.0314972564949827e-05,15.009609957636428,NN,NN,0,demand,1,0,0,0,0,1,0,0,0,0,-1
denied,22,6,0.0001667323491072,12.550178338999132,VBD,VB,0,deni,0,0,0,0,0,1,0,1,0,0,-1
deny,2,4,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,deni,1,0,0,0,0,1,0,0,0,0,-1
denying,2,7,1.5157486282474914e-05,16.009609957636428,VBG,VB,0,deni,0,1,0,0,0,1,0,0,0,0,-1
departed,1,8,7.578743141237457e-06,17.009609957636428,VBN,VB,0,depart,0,0,0,0,0,1,0,1,0,0,-1
departure,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,departur,0,0,0,0,0,1,0,1,0,0,-1
depend,2,6,1.5157486282474914e-05,16.009609957636428,VB,VB,0,depend,0,1,0,0,0,0,0,0,0,1,0
dependent,1,9,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,depend,0,0,0,0,0,1,1,0,0,1,0
deplorable,1,10,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,deplor,1,0,1,1,0,1,0,1,0,0,-1
descent,3,7,2.2736229423712372e-05,15.424647456915272,NN,NN,0,descent,0,0,0,1,0,0,0,1,0,0,0
deserted,3,8,2.2736229423712372e-05,15.424647456915272,VBD,VB,0,desert,1,0,1,1,0,1,0,1,0,0,-1
deserve,3,7,2.2736229423712372e-05,15.424647456915272,VBP,VB,0,deserv,1,1,0,0,0,0,1,0,0,1,1
despair,3,7,2.2736229423712372e-05,15.424647456915272,NN,NN,0,despair,1,0,1,1,0,1,0,1,0,0,-1
destination,2,11,1.5157486282474914e-05,16.009609957636428,NN,NN,0,destin,0,1,0,1,1,0,1,1,1,0,1
destroyed,4,9,3.0314972564949827e-05,15.009609957636428,VBN,VB,0,destroy,1,0,0,1,0,1,0,1,0,0,-1
destructive,1,11,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,destruct,1,0,1,1,0,1,0,0,0,0,-1
determination,3,13,2.2736229423712372e-05,15.424647456915272,NN,NN,0,determin,0,0,0,0,0,0,1,0,0,1,1
devastating,3,11,2.2736229423712372e-05,15.424647456915272,VBG,VB,0,devast,1,0,1,1,0,1,0,1,0,1,-1
develop,5,7,3.7893715706187286e-05,14.687681862749066,VB,VB,0,develop,0,1,0,0,0,0,1,0,0,0,1
devil,3,5,2.2736229423712372e-05,15.424647456915272,NN,NN,0,devil,1,1,1,1,0,1,0,1,0,0,-1
diamond,4,7,3.0314972564949827e-05,15.009609957636428,NN,NN,0,diamond,0,0,0,0,1,0,1,0,0,0,1
dictator,4,8,3.0314972564949827e-05,15.009609957636428,NN,NN,0,dictat,0,0,0,1,0,1,0,0,0,0,-1
dictatorial,1,11,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,dictatori,1,0,0,0,0,1,0,0,0,0,-1
die,13,3,9.852366083608696e-05,13.309170239495336,VB,VB,0,die,0,0,0,1,0,1,0,1,0,0,-1
difficulties,2,12,1.5157486282474914e-05,16.009609957636428,NNS,NN,0,difficulti,0,0,0,0,0,1,0,1,0,0,-1
dilapidated,1,11,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,dilapid,0,0,1,0,0,1,0,1,0,0,-1
diminish,1,8,7.578743141237457e-06,17.009609957636428,VB,VB,0,diminish,0,0,0,0,0,1,0,1,0,0,-1
diplomatic,6,10,4.5472458847424745e-05,14.424647456915272,JJ,JJ,0,diplomat,0,0,0,0,0,0,1,0,0,1,1
dire,1,4,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,dire,0,0,1,1,0,1,0,1,1,0,-1
director,87,8,0.0006593506532876,10.5666664617877,NN,NN,0,director,0,0,0,0,0,0,1,0,0,1,1
dirt,4,4,3.0314972564949827e-05,15.009609957636428,NN,NN,0,dirt,0,0,1,0,0,1,0,0,0,0,-1
dirty,1,5,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,dirti,0,0,1,0,0,1,0,0,0,0,-1
disabled,1,8,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,disabl,0,0,0,1,0,1,0,1,0,0,-1
disagree,1,8,7.578743141237457e-06,17.009609957636428,VB,VB,0,disagre,1,0,0,0,0,1,0,0,0,0,-1
disagreement,1,12,7.578743141237457e-06,17.009609957636428,NN,NN,0,disagr,1,0,0,0,0,1,0,1,0,0,-1
disappointed,5,12,3.7893715706187286e-05,14.687681862749066,JJ,JJ,0,disappoint,1,0,1,0,0,1,0,1,0,0,-1
disappointing,1,13,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,disappoint,0,0,0,0,0,1,0,1,0,0,-1
disapproval,1,11,7.578743141237457e-06,17.009609957636428,NN,NN,0,disapprov,0,0,0,0,0,1,0,1,0,0,-1
disapprove,1,10,7.578743141237457e-06,17.009609957636428,VBP,VB,0,disapprov,1,0,1,1,0,1,0,1,0,0,-1
disapproved,1,11,7.578743141237457e-06,17.009609957636428,VBN,VB,0,disapprov,1,0,0,0,0,1,0,1,0,0,-1
disaster,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,disast,1,0,1,1,0,1,0,1,1,0,-1
discipline,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,disciplin,0,0,0,1,0,1,0,0,0,0,-1
discontent,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,discont,1,0,1,1,0,1,0,1,0,0,-1
discord,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,discord,1,0,1,0,0,1,0,0,0,0,-1
discriminate,2,12,1.5157486282474914e-05,16.009609957636428,NN,NN,0,discrimin,1,0,0,0,0,1,0,1,0,0,-1
discriminating,3,14,2.2736229423712372e-05,15.424647456915272,VBG,VB,0,discrimin,0,0,1,0,0,1,0,0,0,0,-1
discrimination,38,14,0.000287992239367,11.761682444192845,NN,NN,0,discrimin,1,0,1,1,0,1,0,1,0,0,-1
disdain,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,disdain,1,0,1,0,0,1,0,0,0,0,-1
disease,11,7,8.336617455361203e-05,13.550178338999132,NN,NN,0,diseas,1,0,1,1,0,1,0,1,0,0,-1
disgruntled,2,11,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,disgruntl,1,0,1,0,0,1,0,1,0,0,-1
disgust,3,7,2.2736229423712372e-05,15.424647456915272,NN,NN,0,disgust,1,0,1,1,0,1,0,1,0,0,-1
disgusting,1,10,7.578743141237457e-06,17.009609957636428,VBG,VB,0,disgust,1,0,1,1,0,1,0,0,0,0,-1
dismay,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,dismay,1,1,0,1,0,1,0,1,1,0,-1
dismissal,4,9,3.0314972564949827e-05,15.009609957636428,NN,NN,0,dismiss,1,0,1,1,0,1,0,1,1,0,-1
disobedient,1,11,7.578743141237457e-06,17.009609957636428,NN,NN,0,disobedi,1,0,0,0,0,1,0,0,0,0,-1
disorder,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,disord,0,0,0,1,0,1,0,0,0,0,-1
displeased,1,10,7.578743141237457e-06,17.009609957636428,VBN,VB,0,displeas,1,0,1,1,0,1,0,1,0,0,-1
disposed,1,8,7.578743141237457e-06,17.009609957636428,VBD,VB,0,dispos,0,1,0,0,0,0,1,0,0,1,1
dispute,4,7,3.0314972564949827e-05,15.009609957636428,NN,NN,0,disput,1,0,0,0,0,1,0,0,0,0,-1
disqualified,1,12,7.578743141237457e-06,17.009609957636428,NNP,NN,0,disqualifi,1,0,1,0,0,1,0,1,0,0,-1
dissension,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,dissens,1,0,0,0,0,1,0,0,0,0,-1
dissident,1,9,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,dissid,1,0,0,1,0,1,0,0,0,0,-1
distraught,1,10,7.578743141237457e-06,17.009609957636428,VBN,VB,0,distraught,0,0,0,0,0,1,0,1,0,0,-1
distress,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,distress,1,0,1,1,0,1,0,1,1,0,-1
distressed,2,10,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,distress,0,0,0,1,0,1,0,0,0,0,-1
distressing,1,11,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,distress,1,0,0,1,0,1,0,0,0,0,-1
diverse,1,7,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,divers,0,0,0,0,0,1,1,0,0,0,0
divorce,23,7,0.0001743110922484,12.486048001579416,NN,NN,0,divorc,1,0,1,1,0,1,0,1,1,1,-1
doctor,32,6,0.0002425197805195,12.009609957636428,NN,NN,0,doctor,0,0,0,0,0,0,1,0,0,1,1
dole,1,4,7.578743141237457e-06,17.009609957636428,NNP,NN,0,dole,0,0,0,0,0,1,0,1,0,0,-1
